"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL389328";"";"0";"284.31";"0";"3.31";"5";"COc1ccc(/C=C/C(=O)c2ccccc2O)cc1OC";"IC50";"'='";"4970.0";"nM";"5.30";"";"";"UO_0000065";"18.65";"0.34";"1.99";"9.51";"False";"CHEMBL1936799";"Inhibition of human BCRP expressed in MDCK2 cells assessed as Hoechst 33342 accumulation preincubated for 30 mins by fluorimetry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MDCK-II";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1933063";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"CHEMBL3308862"
"CHEMBL33943";"";"0";"268.31";"0";"3.60";"1";"COc1ccc(/C=C/C(=O)c2ccccc2)cc1OC";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL1936798";"Inhibition of BCRP in human MCF7/MX cells assessed as Hoechst 33342 accumulation preincubated for 30 mins by Fluorometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7/MX";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1933063";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"None"
"CHEMBL242513";"";"0";"293.24";"0";"3.71";"1e";"COc1cc(C(F)(F)F)cc2[nH]c3ccccc3c(=O)c12";"IC50";"'='";"770.0";"nM";"6.11";"";"";"UO_0000065";"20.85";"0.40";"2.40";"14.52";"False";"CHEMBL892735";"Inhibition of ABCG2 expressed in HEK293 cells assessed as mitoxantrone-mediated efflux by flow cytometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147844";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2007";"CHEMBL3307715"
"CHEMBL502503";"";"0";"644.73";"2";"6.14";"6";"COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1ccc2ccccc2n1";"IC50";"'='";"60.0";"nM";"7.22";"";"";"UO_0000065";"11.20";"0.21";"1.08";"6.06";"False";"CHEMBL938929";"Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7/Topo";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140935";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None"
"CHEMBL453536";"";"0";"644.73";"2";"6.14";"5";"COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc2ccccc2c1";"IC50";"'='";"119.0";"nM";"6.92";"";"";"UO_0000065";"10.74";"0.20";"0.78";"5.81";"False";"CHEMBL938929";"Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7/Topo";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140935";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None"
"CHEMBL3809533";"";"0";"381.44";"1";"5.28";"28";"COc1cccc(/C=C/C(=O)c2ccc(Nc3ncnc4ccccc34)cc2)c1";"IC50";"'='";"680.0";"nM";"6.17";"";"";"UO_0000065";"16.17";"0.29";"0.89";"9.62";"False";"CHEMBL3813115";"Inhibition of human C-terminal GFP-tagged ABCG2 expressed in MDCK2 cells using pheophorbide A as substrate preincubated for 20 mins followed by substrate addition measured after 120 mins by flow cytometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MDCK-II";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3808298";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2016";"CHEMBL3308862"
"CHEMBL15177";"MK-571";"0";"515.10";"2";"6.48";"MK-571";"CN(C)C(=O)CCSC(SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL938929";"Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7/Topo";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140935";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None"
"CHEMBL3746761";"";"0";"385.46";"0";"2.54";"13B";"COc1cc2[nH]c3c(c2cc1OC)C[C@H]1C(=O)N[C@@H](C)C(=O)N1[C@H]3CC(C)C";"IC50";"'='";"1700.0";"nM";"5.77";"";"";"UO_0000065";"14.97";"0.28";"3.23";"6.90";"False";"CHEMBL3748978";"Inhibition of BCRP in human Caco2 cells using 3H-Estron-3-sulfate as substrate assessed as Ko143 IC50 measured at 30 to 120 mins by microplate scintillation and luminescence counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Caco-2";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3745690";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2016";"CHEMBL3307519"
"CHEMBL3746825";"";"0";"385.46";"0";"2.54";"14B";"COc1cc2[nH]c3c(c2cc1OC)C[C@@H]1C(=O)N[C@@H](C)C(=O)N1[C@H]3CC(C)C";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3748966";"Inhibition of BCRP in human Caco2 cells using 3H-Estron-3-sulfate as substrate measured at 30 to 120 mins by microplate scintillation and luminescence counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Caco-2";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3745690";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2016";"CHEMBL3307519"
"CHEMBL3746770";"";"0";"369.47";"0";"2.84";"13C";"COc1cc2[nH]c3c(c2cc1C)C[C@H]1C(=O)N[C@@H](C)C(=O)N1[C@H]3CC(C)C";"IC50";"'='";"1810.0";"nM";"5.74";"";"";"UO_0000065";"15.54";"0.29";"2.90";"7.72";"False";"CHEMBL3748978";"Inhibition of BCRP in human Caco2 cells using 3H-Estron-3-sulfate as substrate assessed as Ko143 IC50 measured at 30 to 120 mins by microplate scintillation and luminescence counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Caco-2";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3745690";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2016";"CHEMBL3307519"
