"id","smiles"
3325,"[N]c1nc(nc(n1)[N])C2=[C][C]=[C]O2"
3822,"[N+](=O)([O-])C1=c2c(=[C]C(=[C]1)[N+](=O)[O-])c(nc(n2)[O])[O]"
3975,"[O]c1c2c(nc(n1)[O])[N]C(=O)[N]2"
7794,"O=C1C2=C(C(=O)C3=C1C(=[C][C]=C3[O])[O])C(=[C]C(=C2[O])[O])[O]"
7845,"[O]c1c2c(nc(n1)[N])[N]C(=N2)Br"
9169,"[O]C12[C]([C]([O])[C]3C([C])([O])C4=[C][C]=[C]C(=C4C(=O)C3=C1[O])[O])[C](N([C])[C])C(=C(C2=O)C(=O)[N])[O]"
13252,"[O]C12[C]([C](N([C])[C])C(=C(C1=O)C(=O)[N])[O])[C][C]3C([C])([O])C4=C(Cl)[C]=[C]C(=C4C(=O)C3=C2[O])[O]"
14430,"[N+](=O)([O-])C1=[C][C]=C(O1)c2nc(nc(n2)[N])[N]"
21969,"[O]c1c2N=C3C(=[C]C4=Nc5c([O])nc(nc5OC4=[C]3)[N])Oc2nc(n1)[N]"
22481,"[O]c1c2c(nc(n1)[O])nc3nc([O])nc(c3n2)[O]"
22716,"[O]c1c2c(nc(n1)[S])[N]C(=O)[N]2"
22720,"[O]c1c2c(nc(n1)[N])[N]C(=O)[N]2"
22841,"[O]c1c2c(nc(n1)[S])N=C([S])N=[C]2"
23168,"Clc1c2c(nc(n1)[N])[N]C(=N2)Cl"
23588,"[O]c1c2c(nc(n1)[O])[N]C(=[N])[N]2"
23718,"Clc1c2c(nc(n1)Cl)[N]C(=N2)Cl"
24130,"[O]c1c2c(nc(n1)Cl)[N]C(=N2)Cl"
24131,"[O]c1c2c(nc(n1)[O])[N]C(=N2)Br"
25262,"[O]c1c2c(nc(n1)[O])[N]C(=S)[N]2"
26366,"[N]c1c2c(nc(n1)[N])nc3nc([O])nc(c3n2)[O]"
26498,"[N]c1c2c(nc(n1)[N])[N]C(=S)[N]2"
29188,"[O]c1c2c(nc(n1)[N])[N]C(=S)[N]2"
32791,"[S]c1c2c(nc(n1)Cl)[N]C(=N2)Cl"
35534,"[C](=N[O])c1c2c(nc(n1)[O])onn2"
42337,"[O]C1=C([C]=NC(=N1)[O])C2=[C]SC(=[N])[N]2"
43330,"[O]C1=c2c3=C4C(=C([O])[C]=c3oc2=C(C(=O)[O])C(=[C]1)[C])C(=O)O[C]4"
45762,"[O]c1c2c(nc(n1)[O])[N]C(=N2)Cl"
46380,"[S]c1c2c(nc(n1)[O])[N]C(=O)[N]2"
51338,"[O]c1c2c(c([O])nn1)[C]=NC(=N2)[N]"
51812,"[O]C12[C]([C](N([C])[C])C(=C(C1=O)C(=O)[N])[O])[C][C]3[C]C4=[C][C]=[C]C(=C4C(=O)C3=C2[O])[O]"
