"Molecule.ChEMBL.ID";"Smiles";"Standard.Value";"Mannhold LogP";"Atomic Polarizabilities";"Aromatic Atoms Count";"Aromatic Bonds Count";"Element Count";"Bond Polarizabilities";"Bond Count";"Eccentric Connectivity Index";"Fragment Complexity";"VABC Volume Descriptor";"Hydrogen Bond Acceptors";"Hydrogen Bond Donors";"Largest Chain";"Largest Pi Chain";"Petitjean Number";"Rotatable Bonds Count";"Lipinski's Rule of Five";"Topological Polar Surface Area";"Vertex adjacency information magnitude";"Molecular Weight";"XLogP";"Zagreb Index";"Formal Charge";"Formal Charge (pos)";"Formal Charge (neg)";"Heavy Atoms Count";"Molar Mass";"SP3 Character";"Rotatable Bonds Count (non terminal)";"ALogP1";"ALogP2";"ALogP3";"Moreau-Broto Autocorrelation (mass) descriptors1";"Moreau-Broto Autocorrelation (mass) descriptors2";"Moreau-Broto Autocorrelation (mass) descriptors3";"Moreau-Broto Autocorrelation (mass) descriptors4";"Moreau-Broto Autocorrelation (mass) descriptors5";"Moreau-Broto Autocorrelation (charge) descriptors1";"Moreau-Broto Autocorrelation (charge) descriptors2";"Moreau-Broto Autocorrelation (charge) descriptors3";"Moreau-Broto Autocorrelation (charge) descriptors4";"Moreau-Broto Autocorrelation (charge) descriptors5";"Moreau-Broto Autocorrelation (polarizability) descriptors1";"Moreau-Broto Autocorrelation (polarizability) descriptors2";"Moreau-Broto Autocorrelation (polarizability) descriptors3";"Moreau-Broto Autocorrelation (polarizability) descriptors4";"Moreau-Broto Autocorrelation (polarizability) descriptors5"
"CHEMBL488910";"COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N4C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]4C3";0.005;3.4400000000000004;76.40775499999994;9;10;69;48.26824499999999;37;859;4062.08;445.5124273918417;6;2;6;10;0.5;14;0;100.72999999999999;6.20945336562895;469.25767122000093;4.466;186;0;0;0;34;469.5741939593457;0.21739130434782608;8;-0.3866000000000036;0.1494595600000028;129.19760000000002;38.95228608153417;40.48791737219106;62.86440322203258;65.64344096663582;69.52902445222038;0.8381436783680308;-0.44671956112719724;0.013245828657915244;0.19701062997174756;-0.266364983771068;2553.9473602313583;3103.004908759444;4673.831077751951;5026.718114875779;4954.816300996153
"CHEMBL3110296";"COc1ccc2[nH]cc(CCNC(=O)c3cc(=O)c4ccc(OCc5ccc(Br)cc5)cc4o3)c2c1";0.01;3.66;73.87623899999996;25;27;59;35.41776099999999;40;1259;2709.08;438.4160445073746;2;2;5;15;0.47619047619047616;10;2;93.56;6.321928094887363;546.0790339360005;6.368999999999999;192;0;0;0;36;547.3972014708263;0.06779661016949153;8;0.5542000000000007;0.30713764000000077;152.4812;83.8503965715731;48.97413901092689;72.6748259108488;75.11347890065488;60.515900834032486;0.7922043507475375;-0.359072686444194;-0.07174629990735122;0.04993884714108523;-0.04340416619576098;2460.256687050986;2871.019247036353;3959.8513053228644;3859.323868976623;3189.576478787095
"CHEMBL4170247";"O=[N+]([O-])c1cccc(-c2nc(Nc3ccc4c(c3)OCCO4)c5ccccc5n2)c1";0.02;3;56.99668799999997;22;23;46;25.879311999999995;34;720;1630.08;331.19627019117956;3;1;3;28;0.5;5;0;99.41000000000001;6.08746284125034;400.11715499200045;4.297000000000001;164;0;1;-1;30;400.3876743289702;0.043478260869565216;4;1.1720000000000008;1.373584000000002;118.15799999999999;34.5377973472697;37.5985646349266;53.81298478695885;56.256297716669;49.398722758845146;0.5459398827990443;-0.2659232101903426;-0.0787314108201701;0.03355824473999085;0.030088079379733294;1990.619165694224;2380.2246964432024;3382.72108727827;3536.4468713583774;3134.6970821456175
"CHEMBL4172752";"COc1cccc(-c2nc(Nc3cccc(F)c3)c4cc([N+](=O)[O-])ccc4n2)c1";0.0234;2.89;54.324894999999984;22;23;44;24.073104999999995;32;594;1397.08;323.5340764158581;3;1;3;27;0.5;8;1;90.17999999999999;6;390.1128185600004;5.020999999999999;154;0;1;-1;29;390.3679959707871;0.022727272727272728;5;1.7617999999999991;3.1039392399999968;113.61129999999999;34.26537245077141;35.516165792186634;50.64818710147891;52.98121494991323;49.27169549253813;0.4538239753686334;-0.22748404450007986;0.08782355912724127;-0.09539634414282971;-0.08157045447709142;1867.9175046905136;2222.9813900425406;3146.6984514711135;3314.7473189898355;3036.4365793202714
"CHEMBL4168022";"O=[N+]([O-])c1ccc2nc(-c3cccc(C(F)(F)F)c3)nc(Nc4cccc(O)c4)c2c1";0.0276;2.67;54.10530899999997;22;23;44;22.376690999999997;34;640;1279.1;335.6691941164708;3;2;3;27;0.5;10;1;101.18;6.08746284125034;426.0939749360004;5.464;168;0;1;-1;31;426.3489209031355;0.022727272727272728;5;2.389999999999999;5.712099999999994;113.8175;39.2694607288567;38.34764403810439;60.73610463013201;59.30835539601384;55.5573414508635;0.5570352172229492;-0.3180367928272807;0.1362058441959762;-0.07662094835382395;0.017239672910095694;1913.4993575928459;2291.761048156456;3281.1404582249183;3452.3489837384095;3178.9771719638456
"CHEMBL4163310";"COc1cccc(-c2nc(Nc3ccc(C#N)cc3)c4cc([N+](=O)[O-])ccc4n2)c1";0.0278;3;56.62789499999998;22;23;45;23.530104999999995;33;685;1434.08;340.4863449979852;4;1;3;29;0.5;7;0;113.97;6.044394119358453;397.1174893400004;4.582999999999999;158;0;1;-1;30;397.38703185461105;0.022222222222222223;5;1.6910999999999998;2.8598192099999995;118.462;34.12330861300524;36.10056261384192;50.65079881160904;54.1500085932238;49.17762502813941;0.48488621362696116;-0.23550373516449954;0.08297909201625407;-0.06925598315443211;-0.12772857733555407;1961.2792090563637;2328.465076669196;3285.6845534394724;3469.4360724494823;3142.6494956862593
"CHEMBL4167856";"COc1ccc(Nc2nc(-c3cccc(C(F)(F)F)c3)nc4ccc([N+](=O)[O-])cc24)cc1OC";0.0302;2.78;61.094480999999966;22;23;51;30.581518999999993;37;787;1794.11;379.0513900687655;3;1;3;28;0.5;13;1;99.41000000000001;6.20945336562895;470.1201896840004;5.432;182;0;1;-1;34;470.40156063958403;0.058823529411764705;7;1.9559000000000009;3.8255448100000033;125.49900000000002;43.04392976439765;42.34391996950208;65.40028858439715;67.7470083858199;63.55361738226118;0.8087065527020643;-0.47440977774472964;0.10188672654016512;0.05475252601418458;-0.08894941091932702;2100.2450223831775;2512.3996682034585;3607.904676693195;3887.4748110406686;3582.099041200731
"CHEMBL4166754";"O=[N+]([O-])c1ccc2nc(-c3cccc(C(F)(F)F)c3)nc(Nc4ccc(O)c([N+](=O)[O-])c4)c2c1";0.033;2.34;56.14251599999997;22;23;46;22.539483999999998;37;750;1279.13;361.60994902495963;3;2;3;30;0.46153846153846156;12;1;144.32000000000002;6.20945336562895;471.07905314400034;6.214000000000001;184;0;2;-2;34;471.34649321148447;0.021739130434782608;6;2.6033000000000013;6.777170890000007;117.0352;44.17837910121507;42.62074916541806;67.50712148629897;68.52254876797159;65.40734806786594;0.6270488828030467;-0.29798883336169557;0.11141031503833193;-0.13004546266737943;-0.012711641986380527;2039.9395285633127;2455.1727857031387;3543.7737275594263;3785.6083565000245;3483.402876479816
"CHEMBL4160408";"COc1cccc(Nc2nc(-c3ccccc3)nc4ccc([N+](=O)[O-])cc24)c1";0.0331;3;54.43468799999998;22;23;44;23.963311999999995;31;567;1453.07;317.4665175655518;3;1;3;27;0.5;7;0;90.18;5.954196310386876;372.1222403720004;4.86;148;0;1;-1;28;372.3775335046128;0.022727272727272728;5;1.551999999999999;2.4087039999999966;113.641;31.76332831172876;33.93438068066149;47.4846168784286;49.817644726862945;46.06663078171258;0.38980521260497747;-0.20984057989752783;0.08915425883063878;-0.08926998888555875;0.02176458752418647;1851.7521304067875;2194.395637575417;3083.7274510224165;3237.646674163858;2948.996629170751
"CHEMBL4171017";"COc1ccc(Nc2nc(-c3ccccc3)nc4ccc([N+](=O)[O-])cc24)cc1OC";0.037;3;58.330273999999974;22;23;48;28.065725999999994;33;658;1731.08;343.55272889197965;3;1;3;28;0.46153846153846156;9;0;99.41000000000001;6.044394119358453;402.13280505600045;4.507000000000001;158;0;1;-1;30;402.40355583662176;0.041666666666666664;6;1.0534000000000001;1.1096515600000003;120.28450000000001;34.5377973472697;36.59856463492662;51.14880083269372;56.25629771666901;52.06290671311027;0.5462201844819856;-0.2974432290468632;0.04707364782325127;0.035023038906139094;-0.11024835814368023;1970.5639437145082;2338.676115200734;3308.1185988815055;3536.7172841625643;3214.0544581623108
