"Molecule.ChEMBL.ID","Smiles","Standard.Value"
"CHEMBL488910","COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3",0.005
"CHEMBL3110296","COc1ccc2[nH]cc(CCNC(=O)c3cc(=O)c4ccc(OCc5ccc(Br)cc5)cc4o3)c2c1",0.01
"CHEMBL4170247","O=[N+]([O-])c1cccc(-c2nc(Nc3ccc4c(c3)OCCO4)c3ccccc3n2)c1",0.02
"CHEMBL4172752","COc1cccc(-c2nc(Nc3cccc(F)c3)c3cc([N+](=O)[O-])ccc3n2)c1",0.0234
"CHEMBL4168022","O=[N+]([O-])c1ccc2nc(-c3cccc(C(F)(F)F)c3)nc(Nc3cccc(O)c3)c2c1",0.0276
"CHEMBL4163310","COc1cccc(-c2nc(Nc3ccc(C#N)cc3)c3cc([N+](=O)[O-])ccc3n2)c1",0.0278
"CHEMBL4167856","COc1ccc(Nc2nc(-c3cccc(C(F)(F)F)c3)nc3ccc([N+](=O)[O-])cc23)cc1OC",0.0302
"CHEMBL4166754","O=[N+]([O-])c1ccc2nc(-c3cccc(C(F)(F)F)c3)nc(Nc3ccc(O)c([N+](=O)[O-])c3)c2c1",0.033
"CHEMBL4160408","COc1cccc(Nc2nc(-c3ccccc3)nc3ccc([N+](=O)[O-])cc23)c1",0.0331
"CHEMBL4171017","COc1ccc(Nc2nc(-c3ccccc3)nc3ccc([N+](=O)[O-])cc23)cc1OC",0.037
"CHEMBL4163063","O=[N+]([O-])c1ccc2nc(-c3ccccc3)nc(Nc3ccc(O)c([N+](=O)[O-])c3)c2c1",0.0374
"CHEMBL3582168","COc1cc(OC)c2c(c1)O[C@H](c1cc(OC)c(OC)c(OC)c1)[C@@H](OC(=O)c1ccc(F)c(NC(=O)c3cc(OC)c(OC)c(OC)c3)c1)C2",0.038
"CHEMBL3092486","COc1ccc(-c2nc(Nc3ccc([N+](=O)[O-])cc3)c3ccccc3n2)cc1OC",0.0436
"CHEMBL4171213","CC(=O)Nc1cccc(Nc2nc(-c3cccc(C(F)(F)F)c3)nc3ccc([N+](=O)[O-])cc23)c1",0.0448
"CHEMBL4164420","O=[N+]([O-])c1ccc2nc(-c3cccc(C(F)(F)F)c3)nc(Nc3cccc(F)c3)c2c1",0.0448
"CHEMBL3582167","COc1cc(OC)c2c(c1)O[C@H](c1cc(OC)c(OC)c(OC)c1)[C@@H](OC(=O)c1ccc(F)c(NC(=O)c3ccc(OC)c(OC)c3)c1)C2",0.045
"CHEMBL4174412","COc1cccc(Nc2nc(-c3cccnc3)nc3ccc([N+](=O)[O-])cc23)c1",0.047
"CHEMBL4160529","COc1cc(Nc2nc(-c3ccc(OC)c(OC)c3)nc3ccccc23)ccc1Br",0.0475
"CHEMBL4174458","N#Cc1ccc(Nc2nc(-c3ccccc3)nc3ccc([N+](=O)[O-])cc23)cc1",0.0481
"CHEMBL4163784","N#Cc1cccc(Nc2nc(-c3ccccc3)nc3ccc([N+](=O)[O-])cc23)c1",0.0482
"CHEMBL4164189","O=[N+]([O-])c1ccc2nc(-c3ccccc3)nc(Nc3cccc(C(F)(F)F)c3)c2c1",0.0491
"CHEMBL4172063","O=[N+]([O-])c1ccc2nc(-c3ccccc3)nc(Nc3cccc(F)c3)c2c1",0.0515
"CHEMBL4165918","COc1ccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)cc1OC",0.055
"CHEMBL4164845","COc1ccc(-c2nc(Nc3cccc(C(F)(F)F)c3)c3cc([N+](=O)[O-])ccc3n2)cc1OC",0.0572
"CHEMBL4174809","COc1ccc(Nc2nc(-c3cccnc3)nc3ccc([N+](=O)[O-])cc23)cc1",0.0577
"CHEMBL502503","COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1ccc2ccccc2n1",0.059
"CHEMBL4175885","COc1cccc(Nc2nc(-c3cccc(C(F)(F)F)c3)nc3ccc([N+](=O)[O-])cc23)c1",0.059
"CHEMBL4167604","O=[N+]([O-])c1ccc2nc(-c3cccc(C(F)(F)F)c3)nc(Nc3ccccc3)c2c1",0.0596
"CHEMBL4174654","O=[N+]([O-])c1ccc(Nc2nc(-c3cccc(C(F)(F)F)c3)nc3ccc([N+](=O)[O-])cc23)cc1",0.0614
"CHEMBL4202709","COc1ccc(C(=O)Nc2ccccc2-c2nnn(-c3ccc(OC)nc3)n2)cc1",0.0616
"CHEMBL4159686","N#Cc1cccc(Nc2nc(-c3ccncc3)nc3ccc([N+](=O)[O-])cc23)c1",0.0638
"CHEMBL3884089","O=C(Nc1ccccc1-c1nnn(-c2ccccc2)n1)c1ccccc1",0.064
"CHEMBL4075328","O=[N+]([O-])c1ccc(Nc2nc(-c3cccnc3)nc3ccccc23)cc1",0.0641
"CHEMBL3426401","CCCc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(OC)cc3)n2)cc1",0.0642
"CHEMBL4170623","O=[N+]([O-])c1ccc2nc(-c3ccccc3)nc(Nc3cccc(O)c3)c2c1",0.0653
"CHEMBL4166863","COc1cccc(-c2nc(Nc3ccc([N+](=O)[O-])cc3)c3ccccc3n2)c1",0.0661
"CHEMBL4175064","O=[N+]([O-])c1cccc(Nc2nc(-c3cccc(C(F)(F)F)c3)nc3ccc([N+](=O)[O-])cc23)c1",0.0663
"CHEMBL4088022","N#Cc1ccc(Nc2nc(-c3ccccc3)nc3ccccc23)cc1",0.0714
"CHEMBL3426399","COc1ccc(C(=O)Nc2ccccc2-c2nnn(-c3ccc(C(F)(F)F)cc3)n2)cc1",0.073
"CHEMBL4164155","COc1ccc(Nc2nc(-c3ccncc3)nc3ccc([N+](=O)[O-])cc23)cc1",0.0755
"CHEMBL3092485","COc1ccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3ccccc3n2)cc1OC",0.076
"CHEMBL4205898","COc1ccc(-n2nnc(-c3cc(OC)ccc3NC(=O)c3ccc(C(F)(F)F)cc3)n2)cc1",0.0774
"CHEMBL4170981","CC(=O)Nc1cccc(Nc2nc(-c3ccccc3)nc3ccc([N+](=O)[O-])cc23)c1",0.0787
"CHEMBL3426387","COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)n2)c1",0.0789
